project_code,municipality,site_type,site_code,site_name,traffic_direction,camera_role,camera_name,brand,ip,rtsp_port,rtsp_path,transport,credential_id,username,password
DEMO01,Sample Municipality A,PMI,SITE001,DEMO-PMI-SITE001,,PTZ,DEMO-PMI-SITE001-PTZ,unknown,192.0.2.1,554,/Streaming/Channels/101,tcp,cred_demo_site001,,
DEMO01,Sample Municipality A,PMI,SITE001,DEMO-PMI-SITE001,,FJ1,DEMO-PMI-SITE001-FJ1,unknown,192.0.2.2,554,/Streaming/Channels/101,tcp,cred_demo_site001,,
DEMO01,Sample Municipality A,PMI,SITE001,DEMO-PMI-SITE001,,FJ2,DEMO-PMI-SITE001-FJ2,unknown,192.0.2.3,554,/Streaming/Channels/101,tcp,cred_demo_site001,,
DEMO01,Sample Municipality A,PMI,SITE001,DEMO-PMI-SITE001,,FJ3,DEMO-PMI-SITE001-FJ3,unknown,192.0.2.4,554,/Streaming/Channels/101,tcp,cred_demo_site001,,
DEMO01,Sample Municipality A,PMI,SITE001,DEMO-PMI-SITE001,,LPR,DEMO-PMI-SITE001-LPR,unknown,192.0.2.5,554,/Streaming/Channels/101,tcp,cred_demo_site001,,
DEMO01,Sample Municipality A,PMI,SITE002,DEMO-PMI-SITE002,,PTZ,DEMO-PMI-SITE002-PTZ,unknown,192.0.2.6,554,/Streaming/Channels/101,tcp,cred_demo_site002,,
DEMO01,Sample Municipality A,PMI,SITE002,DEMO-PMI-SITE002,,FJ1,DEMO-PMI-SITE002-FJ1,unknown,192.0.2.7,554,/Streaming/Channels/101,tcp,cred_demo_site002,,
DEMO01,Sample Municipality A,PMI,SITE002,DEMO-PMI-SITE002,,FJ2,DEMO-PMI-SITE002-FJ2,unknown,192.0.2.8,554,/Streaming/Channels/101,tcp,cred_demo_site002,,
DEMO01,Sample Municipality A,PMI,SITE002,DEMO-PMI-SITE002,,FJ3,DEMO-PMI-SITE002-FJ3,unknown,192.0.2.9,554,/Streaming/Channels/101,tcp,cred_demo_site002,,
DEMO01,Sample Municipality A,PMI,SITE002,DEMO-PMI-SITE002,,LPR,DEMO-PMI-SITE002-LPR,unknown,192.0.2.10,554,/Streaming/Channels/101,tcp,cred_demo_site002,,
DEMO01,Sample Municipality A,PMI,SITE003,DEMO-PMI-SITE003,,PTZ,DEMO-PMI-SITE003-PTZ,unknown,192.0.2.11,554,/Streaming/Channels/101,tcp,cred_demo_site003,,
DEMO01,Sample Municipality A,PMI,SITE003,DEMO-PMI-SITE003,,FJ1,DEMO-PMI-SITE003-FJ1,unknown,192.0.2.12,554,/Streaming/Channels/101,tcp,cred_demo_site003,,
DEMO01,Sample Municipality A,PMI,SITE003,DEMO-PMI-SITE003,,FJ2,DEMO-PMI-SITE003-FJ2,unknown,192.0.2.13,554,/Streaming/Channels/101,tcp,cred_demo_site003,,
DEMO01,Sample Municipality A,PMI,SITE003,DEMO-PMI-SITE003,,FJ3,DEMO-PMI-SITE003-FJ3,unknown,192.0.2.14,554,/Streaming/Channels/101,tcp,cred_demo_site003,,
DEMO01,Sample Municipality A,PMI,SITE003,DEMO-PMI-SITE003,,LPR,DEMO-PMI-SITE003-LPR,unknown,192.0.2.15,554,/Streaming/Channels/101,tcp,cred_demo_site003,,
DEMO01,Sample Municipality A,PMI,SITE004,DEMO-PMI-SITE004,,PTZ,DEMO-PMI-SITE004-PTZ,unknown,192.0.2.16,554,/Streaming/Channels/101,tcp,cred_demo_site004,,
DEMO01,Sample Municipality A,PMI,SITE004,DEMO-PMI-SITE004,,FJ1,DEMO-PMI-SITE004-FJ1,unknown,192.0.2.17,554,/Streaming/Channels/101,tcp,cred_demo_site004,,
DEMO01,Sample Municipality A,PMI,SITE004,DEMO-PMI-SITE004,,FJ2,DEMO-PMI-SITE004-FJ2,unknown,192.0.2.18,554,/Streaming/Channels/101,tcp,cred_demo_site004,,
DEMO01,Sample Municipality A,PMI,SITE004,DEMO-PMI-SITE004,,FJ3,DEMO-PMI-SITE004-FJ3,unknown,192.0.2.19,554,/Streaming/Channels/101,tcp,cred_demo_site004,,
DEMO01,Sample Municipality A,PMI,SITE004,DEMO-PMI-SITE004,,LPR,DEMO-PMI-SITE004-LPR,unknown,192.0.2.20,554,/Streaming/Channels/101,tcp,cred_demo_site004,,
DEMO01,Sample Municipality A,PMI,SITE005,DEMO-PMI-SITE005,,PTZ,DEMO-PMI-SITE005-PTZ,unknown,192.0.2.21,554,/Streaming/Channels/101,tcp,cred_demo_site005,,
DEMO01,Sample Municipality A,PMI,SITE005,DEMO-PMI-SITE005,,FJ1,DEMO-PMI-SITE005-FJ1,unknown,192.0.2.22,554,/Streaming/Channels/101,tcp,cred_demo_site005,,
